language_ID,filename,meansynratio,meanmorphratio,syn.sd,morph.sd,area,language_name,latitude,longitude,glottocode,region,macro_region,country_id,language_type,abbr,spread,migration,contact_languages,contact_languages_names,all_L1,natives,non_natives,ewave
5,GLA_007,0.940010256870826,-0.961583753901682,0.0239483330877545,0.0140696867999773,GLA,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes
82,HEB_003,0.944399874988402,-0.963084346057528,0.0252429572766854,0.0129369719781969,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_004,0.945418015736782,-0.9631079113999,0.0263371242988231,0.0144845226350781,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_005,0.940843723246419,-0.961642877351604,0.0245198213103552,0.0119228575648986,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_006,0.94420357329655,-0.963951605313404,0.0281539608812136,0.015730828082393,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_009,0.941400176637632,-0.960557246532107,0.0250926659319924,0.0134310574812571,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_011,0.944691651045604,-0.963341555231995,0.0232586142070895,0.0139714123530251,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_012,0.944575832222748,-0.961263250646489,0.025442806349962,0.0135898063470787,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_014,0.945933848599525,-0.963472744470403,0.025102301823707,0.0145491495765921,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_019,0.944467494904671,-0.962641094236752,0.0268096838104725,0.0142388902636226,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_021,0.942236866080895,-0.963132578318941,0.0233979665032876,0.0141405085188867,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_022,0.945638602173844,-0.963586044139167,0.0265034899124521,0.0151609505613312,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_027,0.943479511122192,-0.961617238172101,0.0262111218602196,0.0127425178061251,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_035,0.946975240115086,-0.963750244140176,0.024561002253687,0.0138473890639143,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_036,0.943253080193903,-0.963531350919879,0.0268801202131192,0.0151135854544632,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
82,HEB_039,0.942911455926554,-0.961346122873205,0.0234624585766698,0.0128256310990312,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1c,HebE,4712,6033,0,"",17,13720,11604,no
4,IOM_002,0.942878997852549,-0.962134938807799,0.0237330626323489,0.0132383754523671,IOM,Manx English,54.16,-4.57,manx1244,BI,BI,IM,L1c,ManxE,572,2107,0,"",2,7388,0,yes
9,KEN_002,0.943488798175597,-0.963380527968952,0.0253511449059252,0.0142423650534049,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes
9,KEN_004,0.941036046513339,-0.963853524421703,0.0220072994790124,0.0147466886397023,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes
9,KEN_010,0.940086976215715,-0.962604280217632,0.0209344432534861,0.0130977359742459,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes
9,KEN_011,0.940582322748361,-0.963524246171987,0.0195955345809419,0.0146334127233416,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes
6,LAN_005,0.948211278754136,-0.9633286936171,0.0271756922485129,0.0145584434353583,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes
6,LAN_013,0.93953151468922,-0.959438742258813,0.024092171855393,0.013483355529495,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes
6,LAN_014,0.945335996839784,-0.962967647738732,0.030261750523423,0.0172689110151157,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes
6,LAN_018,0.940757151272548,-0.961765228568187,0.0251798594050909,0.0137808995785345,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes
6,LAN_019,0.936291175607567,-0.963390824497208,0.0219020877297477,0.0165872410558837,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes
6,LAN_021,0.937627251316631,-0.961984661047409,0.0286780591398228,0.0149056352684787,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes
6,LAN_023,0.944587802544603,-0.963511317200804,0.0264081917252391,0.0154300897353079,LAN,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes
2,LKS_001,0.944174202738582,-0.962856047622441,0.0248102999321036,0.0148337386703189,LKS,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
9,LND_001,0.945056666576967,-0.962408975148944,0.0280251079589821,0.0150254665508239,LND,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes
