language_ID,filename,meansynratio,meanmorphratio,syn.sd,morph.sd,area,language_name,latitude,longitude,glottocode,region,macro_region,country_id,language_type,abbr,spread,migration,contact_languages,contact_languages_names,all_L1,natives,non_natives,ewave
14,SBC004,0.926689178270552,-0.956654522451852,0.01543484785349,0.0143805608793913,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC005,0.929085112138487,-0.949156192245428,0.0176213756694814,0.0127710137473793,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC006,0.925804477736788,-0.948200445687078,0.0164382752286095,0.0136398482689658,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC007,0.929740571632735,-0.946025745922403,0.0171925783392089,0.0127953518818189,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC008,0.929043434703398,-0.962397396473787,0.0166479931073839,0.0179866075335589,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC010,0.930568958973341,-0.957943281216116,0.0171778108597656,0.0156783968536506,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC011,0.930951037804526,-0.944847716433931,0.0175821567307809,0.0118266598303083,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC012,0.926555133094848,-0.951499827931496,0.0185413970717774,0.0159485394716409,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC013,0.93322216259915,-0.941718573688607,0.0175215813277472,0.0116967704345722,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC014,0.921638102389036,-0.959682285260484,0.0135937974101365,0.0153720785053881,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
14,SBC015,0.927652203012887,-0.957010460002069,0.0165449434474984,0.0165222046855308,SBC,Colloquial American English,39.1,-101.8,"",Am,Am,US,L1c,CollAmE,9147593,3723,1,Spanish,161,241032343,51369809,yes
