"","z_spread","contact_languages","log10_natives","z_density","prop_non_natives","z_migration"
"z_spread",0,0.946993028365738,0.077381006094253,0.491638607838785,0.863458368494576,0.136953299800504
"contact_languages",0.946993028365738,0,0.770027163643656,0.678108765907424,4.71263492336218e-06,0.000227397098151349
"log10_natives",0.077381006094253,0.770027163643656,0,0.973083199721716,0.207232564855956,0.0387126751306436
"z_density",0.491638607838785,0.678108765907424,0.973083199721716,0,0.385610770694997,0.411744450211761
"prop_non_natives",0.863458368494576,4.71263492336218e-06,0.207232564855956,0.385610770694997,0,2.92590819795244e-06
"z_migration",0.136953299800504,0.000227397098151349,0.0387126751306436,0.411744450211761,2.92590819795244e-06,0
