"","z_spread","contact_languages","log10_natives","z_density","prop_non_natives","z_migration"
"z_spread",1,0.0143354885452395,0.36738501440958,-0.147479564413073,-0.0370709545040397,0.312600063222719
"contact_languages",0.0143354885452395,1,-0.0629761985639765,0.0893192651866768,0.788553297766125,-0.684121581785622
"log10_natives",0.36738501440958,-0.0629761985639765,1,-0.00727582308299209,-0.266992558734933,0.424441197601493
"z_density",-0.147479564413073,0.0893192651866768,-0.00727582308299209,1,0.185455794156881,-0.175617789660747
"prop_non_natives",-0.0370709545040397,0.788553297766125,-0.266992558734933,0.185455794156881,1,-0.798431229827888
"z_migration",0.312600063222719,-0.684121581785622,0.424441197601493,-0.175617789660747,-0.798431229827888,1
